id;nom;prenom;mail;telephone;localisation
1;reciprocal withdrawal;synthesize compressing;multi-byte Administrateur;0437392338;Coordinateur world-class Adaptive
2;capacitor hard;iterate;online Account global;+33 450838890;quantify
3;c;Account Concrete;web;+33 368611235;de Licensed Music
4;Plastic Multi-layered;parsing orange copying;encoding Canada;0794991226;Granite Agent overriding
5;payment;background magenta;Music leverage Pants;0553512793;withdrawal Wooden
6;Coordinateur SCSI Executif;Stagiaire Nauru;b Soap;0207649944;SQL Fresh
7;viral systems expedite;cohesive efficient;generating;0751819917;withdrawal Mouse
8;Savings program hack;Dinar withdrawal navigate;synthesize;+33 230078307;firewall Ruble
9;reintermediate schemas;b;Ingenieur Money;+33 310044287;synthesize
10;Berkshire compressing;Montmorency parse;Multi-channelled;+33 354340732;Sleek eyeballs
